Question,OptionA,OptionB,OptionC,OptionD,Correct,Description
Given Employed equals 5520 Unemployed equals 2621 Adult population equals 10029 what are the unemployment rate and the labour force participation rate,67.8 percent and 81.2 percent,32.2 percent and 18.799999999999997 percent,81.2 percent and 32.2 percent,32.2 percent and 81.2 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 97 to 115 what is the inflation rate for the period,28.6 percent,23.6 percent,13.600000000000001 percent,18.6 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 113 to 125 what is the inflation rate for the period,10.6 percent,15.6 percent,20.6 percent,5.6 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 36965 Unemployed equals 2570 Adult population equals 54109 what are the unemployment rate and the labour force participation rate,6.5 percent and 26.900000000000006 percent,6.5 percent and 73.1 percent,93.5 percent and 73.1 percent,73.1 percent and 6.5 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 11110 Unemployed equals 431 Adult population equals 15639 what are the unemployment rate and the labour force participation rate,73.8 percent and 3.7 percent,3.7 percent and 73.8 percent,3.7 percent and 26.200000000000003 percent,96.3 percent and 73.8 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 14832 Unemployed equals 3237 Adult population equals 23201 what are the unemployment rate and the labour force participation rate,77.9 percent and 17.9 percent,17.9 percent and 77.9 percent,17.9 percent and 22.099999999999994 percent,82.1 percent and 77.9 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 32738 Unemployed equals 720 Adult population equals 52067 what are the unemployment rate and the labour force participation rate,2.2 percent and 35.7 percent,2.2 percent and 64.3 percent,97.8 percent and 64.3 percent,64.3 percent and 2.2 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 35056 Unemployed equals 752 Adult population equals 55318 what are the unemployment rate and the labour force participation rate,2.1 percent and 35.3 percent,2.1 percent and 64.7 percent,64.7 percent and 2.1 percent,97.9 percent and 64.7 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 14371 Unemployed equals 2935 Adult population equals 25156 what are the unemployment rate and the labour force participation rate,17.0 percent and 68.8 percent,83.0 percent and 68.8 percent,17.0 percent and 31.200000000000003 percent,68.8 percent and 17.0 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
A temporary increase in GST is best seen as a relative price shock rather than a permanent change in trend inflation,It permanently raises trend inflation,True,It lowers the price level,False,B,One off tax changes raise the price level but the effect on ongoing inflation fades as the level shift passes.
If CPI rises from 90 to 98 what is the inflation rate for the period,13.9 percent,8.9 percent,18.9 percent,3.9000000000000004 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 34705 Unemployed equals 4563 Adult population equals 42250 what are the unemployment rate and the labour force participation rate,11.6 percent and 92.9 percent,11.6 percent and 7.099999999999994 percent,92.9 percent and 11.6 percent,88.4 percent and 92.9 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 18606 Unemployed equals 3315 Adult population equals 30800 what are the unemployment rate and the labour force participation rate,71.2 percent and 15.1 percent,15.1 percent and 28.799999999999997 percent,84.9 percent and 71.2 percent,15.1 percent and 71.2 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 106 to 121 what is the inflation rate for the period,24.2 percent,9.2 percent,19.2 percent,14.2 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 93 to 123 what is the inflation rate for the period,42.3 percent,27.299999999999997 percent,37.3 percent,32.3 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 6034 Unemployed equals 722 Adult population equals 19698 what are the unemployment rate and the labour force participation rate,10.7 percent and 65.7 percent,10.7 percent and 34.3 percent,89.3 percent and 34.3 percent,34.3 percent and 10.7 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 113 to 143 what is the inflation rate for the period,31.5 percent,21.5 percent,36.5 percent,26.5 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 9974 Unemployed equals 3134 Adult population equals 26009 what are the unemployment rate and the labour force participation rate,50.4 percent and 23.9 percent,23.9 percent and 50.4 percent,76.1 percent and 50.4 percent,23.9 percent and 49.6 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 119 to 131 what is the inflation rate for the period,15.1 percent,5.1 percent,10.1 percent,20.1 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 12 percent and real GDP grows 3 percent what is the predicted inflation rate in the quantity theory,7 percent,11 percent,9 percent,14 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 37143 Unemployed equals 5224 Adult population equals 45577 what are the unemployment rate and the labour force participation rate,12.3 percent and 93.0 percent,93.0 percent and 12.3 percent,12.3 percent and 7.0 percent,87.7 percent and 93.0 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 39316 Unemployed equals 1330 Adult population equals 49464 what are the unemployment rate and the labour force participation rate,96.7 percent and 82.2 percent,82.2 percent and 3.3 percent,3.3 percent and 17.799999999999997 percent,3.3 percent and 82.2 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 99 to 117 what is the inflation rate for the period,13.2 percent,23.2 percent,28.2 percent,18.2 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
The table reports numbers of adults measured in thousands Employed 780 Unemployed 45 Not in the labour force 175. What are the unemployment rate and the labour force participation rate,82.5 percent and 5.5 percent,5.5 percent and 17.5 percent,5.5 percent and 82.5 percent,94.5 percent and 82.5 percent,C,Unemployment rate equals one hundred times U divided by E plus U. Participation rate equals one hundred times E plus U divided by adult population.
If CPI rises from 109 to 119 what is the inflation rate for the period,19.2 percent,14.2 percent,4.199999999999999 percent,9.2 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 7822 Unemployed equals 4235 Adult population equals 18640 what are the unemployment rate and the labour force participation rate,35.1 percent and 64.7 percent,64.7 percent and 35.1 percent,35.1 percent and 35.3 percent,64.9 percent and 64.7 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 29778 Unemployed equals 3907 Adult population equals 53506 what are the unemployment rate and the labour force participation rate,11.6 percent and 63.0 percent,88.4 percent and 63.0 percent,63.0 percent and 11.6 percent,11.6 percent and 37.0 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 33697 Unemployed equals 5276 Adult population equals 43460 what are the unemployment rate and the labour force participation rate,89.7 percent and 13.5 percent,13.5 percent and 89.7 percent,86.5 percent and 89.7 percent,13.5 percent and 10.299999999999997 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 9685 Unemployed equals 2593 Adult population equals 26670 what are the unemployment rate and the labour force participation rate,21.1 percent and 46.0 percent,21.1 percent and 54.0 percent,78.9 percent and 46.0 percent,46.0 percent and 21.1 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 37011 Unemployed equals 1466 Adult population equals 40615 what are the unemployment rate and the labour force participation rate,94.7 percent and 3.8 percent,3.8 percent and 5.299999999999997 percent,3.8 percent and 94.7 percent,96.2 percent and 94.7 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 100 to 120 what is the inflation rate for the period,15.0 percent,25.0 percent,30.0 percent,20.0 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 36941 Unemployed equals 2095 Adult population equals 44014 what are the unemployment rate and the labour force participation rate,5.4 percent and 88.7 percent,94.6 percent and 88.7 percent,5.4 percent and 11.299999999999997 percent,88.7 percent and 5.4 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 33553 Unemployed equals 4433 Adult population equals 44170 what are the unemployment rate and the labour force participation rate,88.3 percent and 86.0 percent,11.7 percent and 86.0 percent,86.0 percent and 11.7 percent,11.7 percent and 14.0 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 16676 Unemployed equals 2212 Adult population equals 22363 what are the unemployment rate and the labour force participation rate,11.7 percent and 15.5 percent,88.3 percent and 84.5 percent,11.7 percent and 84.5 percent,84.5 percent and 11.7 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 49028 Unemployed equals 4102 Adult population equals 69228 what are the unemployment rate and the labour force participation rate,76.7 percent and 7.7 percent,92.3 percent and 76.7 percent,7.7 percent and 23.299999999999997 percent,7.7 percent and 76.7 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 15 percent and real GDP grows 0 percent what is the predicted inflation rate in the quantity theory,13 percent,17 percent,20 percent,15 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If money supply grows 15 percent and real GDP grows 1 percent what is the predicted inflation rate in the quantity theory,16 percent,14 percent,12 percent,19 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 44631 Unemployed equals 1379 Adult population equals 64810 what are the unemployment rate and the labour force participation rate,3.0 percent and 71.0 percent,97.0 percent and 71.0 percent,71.0 percent and 3.0 percent,3.0 percent and 29.0 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 11652 Unemployed equals 4883 Adult population equals 32407 what are the unemployment rate and the labour force participation rate,29.5 percent and 51.0 percent,51.0 percent and 29.5 percent,70.5 percent and 51.0 percent,29.5 percent and 49.0 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 26010 Unemployed equals 2868 Adult population equals 37317 what are the unemployment rate and the labour force participation rate,9.9 percent and 77.4 percent,9.9 percent and 22.599999999999994 percent,77.4 percent and 9.9 percent,90.1 percent and 77.4 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 91 to 106 what is the inflation rate for the period,16.5 percent,21.5 percent,11.5 percent,26.5 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 97 to 127 what is the inflation rate for the period,30.9 percent,40.9 percent,35.9 percent,25.9 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Which statement best describes the CPI versus GDP deflator,Both track only consumer imports,CPI tracks the cost of a fixed household basket while the deflator tracks prices of domestically produced goods and services,CPI measures producer prices while the deflator measures wages,They are identical measures constructed from the same basket,B,CPI measures the consumer cost of living including imports whereas the GDP deflator covers prices of current domestic output.
Given Employed equals 45117 Unemployed equals 5391 Adult population equals 61195 what are the unemployment rate and the labour force participation rate,82.5 percent and 10.7 percent,89.3 percent and 82.5 percent,10.7 percent and 17.5 percent,10.7 percent and 82.5 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 6495 Unemployed equals 5097 Adult population equals 18169 what are the unemployment rate and the labour force participation rate,56.0 percent and 63.8 percent,44.0 percent and 63.8 percent,63.8 percent and 44.0 percent,44.0 percent and 36.2 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 20441 Unemployed equals 1396 Adult population equals 29012 what are the unemployment rate and the labour force participation rate,93.6 percent and 75.3 percent,75.3 percent and 6.4 percent,6.4 percent and 75.3 percent,6.4 percent and 24.700000000000003 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 8168 Unemployed equals 4904 Adult population equals 22464 what are the unemployment rate and the labour force participation rate,37.5 percent and 41.8 percent,37.5 percent and 58.2 percent,62.5 percent and 58.2 percent,58.2 percent and 37.5 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 44239 Unemployed equals 4408 Adult population equals 67851 what are the unemployment rate and the labour force participation rate,9.1 percent and 28.299999999999997 percent,90.9 percent and 71.7 percent,71.7 percent and 9.1 percent,9.1 percent and 71.7 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 40567 Unemployed equals 574 Adult population equals 55726 what are the unemployment rate and the labour force participation rate,1.4 percent and 73.8 percent,73.8 percent and 1.4 percent,1.4 percent and 26.200000000000003 percent,98.6 percent and 73.8 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 94 to 124 what is the inflation rate for the period,26.9 percent,41.9 percent,31.9 percent,36.9 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 15459 Unemployed equals 1041 Adult population equals 28678 what are the unemployment rate and the labour force participation rate,93.7 percent and 57.5 percent,6.3 percent and 42.5 percent,57.5 percent and 6.3 percent,6.3 percent and 57.5 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 5059 Unemployed equals 3827 Adult population equals 10207 what are the unemployment rate and the labour force participation rate,43.1 percent and 87.1 percent,87.1 percent and 43.1 percent,56.9 percent and 87.1 percent,43.1 percent and 12.900000000000006 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 91 to 101 what is the inflation rate for the period,16.0 percent,6.0 percent,21.0 percent,11.0 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 45353 Unemployed equals 5562 Adult population equals 62331 what are the unemployment rate and the labour force participation rate,10.9 percent and 18.299999999999997 percent,81.7 percent and 10.9 percent,89.1 percent and 81.7 percent,10.9 percent and 81.7 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 98 to 106 what is the inflation rate for the period,13.2 percent,18.2 percent,8.2 percent,3.1999999999999993 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 120 to 128 what is the inflation rate for the period,6.7 percent,1.7000000000000002 percent,11.7 percent,16.7 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 15 percent and real GDP grows 2 percent what is the predicted inflation rate in the quantity theory,15 percent,11 percent,18 percent,13 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 13592 Unemployed equals 804 Adult population equals 32260 what are the unemployment rate and the labour force participation rate,5.6 percent and 55.4 percent,94.4 percent and 44.6 percent,5.6 percent and 44.6 percent,44.6 percent and 5.6 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 100 to 115 what is the inflation rate for the period,10.0 percent,15.0 percent,20.0 percent,25.0 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 47563 Unemployed equals 4986 Adult population equals 59118 what are the unemployment rate and the labour force participation rate,88.9 percent and 9.5 percent,9.5 percent and 11.099999999999994 percent,90.5 percent and 88.9 percent,9.5 percent and 88.9 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 14464 Unemployed equals 4778 Adult population equals 20425 what are the unemployment rate and the labour force participation rate,24.8 percent and 94.2 percent,94.2 percent and 24.8 percent,24.8 percent and 5.799999999999997 percent,75.2 percent and 94.2 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 31313 Unemployed equals 4723 Adult population equals 54262 what are the unemployment rate and the labour force participation rate,86.9 percent and 66.4 percent,66.4 percent and 13.1 percent,13.1 percent and 33.599999999999994 percent,13.1 percent and 66.4 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 13866 Unemployed equals 4034 Adult population equals 30720 what are the unemployment rate and the labour force participation rate,58.3 percent and 22.5 percent,77.5 percent and 58.3 percent,22.5 percent and 58.3 percent,22.5 percent and 41.7 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 99 to 109 what is the inflation rate for the period,20.1 percent,5.1 percent,10.1 percent,15.1 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 6 percent and real GDP grows 2 percent what is the predicted inflation rate in the quantity theory,9 percent,6 percent,2 percent,4 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 44250 Unemployed equals 2082 Adult population equals 47859 what are the unemployment rate and the labour force participation rate,96.8 percent and 4.5 percent,95.5 percent and 96.8 percent,4.5 percent and 3.200000000000003 percent,4.5 percent and 96.8 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 100 to 110 what is the inflation rate for the period,5.0 percent,15.0 percent,10.0 percent,20.0 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 15001 Unemployed equals 4509 Adult population equals 24092 what are the unemployment rate and the labour force participation rate,23.1 percent and 19.0 percent,81.0 percent and 23.1 percent,23.1 percent and 81.0 percent,76.9 percent and 81.0 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 91 to 99 what is the inflation rate for the period,3.8000000000000007 percent,18.8 percent,13.8 percent,8.8 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 15 percent and real GDP grows 4 percent what is the predicted inflation rate in the quantity theory,11 percent,16 percent,9 percent,13 percent,A,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 116 to 134 what is the inflation rate for the period,25.5 percent,20.5 percent,15.5 percent,10.5 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Quantitative easing expands the central bank balance sheet by purchasing long term assets to lower longer term yields and support credit,True,It raises reserve requirements only,False,It directly sets all retail rates by law,A,Asset purchases raise reserves and compress term premia influencing borrowing conditions beyond the overnight rate.
If CPI rises from 112 to 124 what is the inflation rate for the period,10.7 percent,20.7 percent,5.699999999999999 percent,15.7 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Research and development raises total factor productivity and supports sustained growth in output per worker,False,R and D only changes prices,It reduces productivity long run,True,D,Innovation allows more output to be produced with given inputs which raises real incomes over time.
If CPI rises from 103 to 133 what is the inflation rate for the period,29.1 percent,34.1 percent,24.1 percent,39.1 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 12 percent and real GDP grows 4 percent what is the predicted inflation rate in the quantity theory,10 percent,6 percent,13 percent,8 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 105 to 123 what is the inflation rate for the period,12.100000000000001 percent,22.1 percent,17.1 percent,27.1 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 23779 Unemployed equals 2377 Adult population equals 41123 what are the unemployment rate and the labour force participation rate,63.6 percent and 9.1 percent,9.1 percent and 36.4 percent,90.9 percent and 63.6 percent,9.1 percent and 63.6 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 44326 Unemployed equals 5949 Adult population equals 68074 what are the unemployment rate and the labour force participation rate,11.8 percent and 73.9 percent,11.8 percent and 26.099999999999994 percent,73.9 percent and 11.8 percent,88.2 percent and 73.9 percent,A,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Expected inflation is 2 percent and the real interest rate is 1 percent what nominal rate is consistent with the Fisher equation,3 percent,5 percent,2 percent,4 percent,A,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
Given Employed equals 24546 Unemployed equals 4836 Adult population equals 42570 what are the unemployment rate and the labour force participation rate,69.0 percent and 16.5 percent,16.5 percent and 31.0 percent,83.5 percent and 69.0 percent,16.5 percent and 69.0 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Expected inflation is 6 percent and the real interest rate is 0 percent what nominal rate is consistent with the Fisher equation,7 percent,8 percent,5 percent,6 percent,D,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If money supply grows 8 percent and real GDP grows 2 percent what is the predicted inflation rate in the quantity theory,4 percent,6 percent,11 percent,8 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 110 to 140 what is the inflation rate for the period,37.3 percent,22.3 percent,32.3 percent,27.3 percent,D,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 30319 Unemployed equals 3105 Adult population equals 52591 what are the unemployment rate and the labour force participation rate,90.7 percent and 63.6 percent,9.3 percent and 63.6 percent,63.6 percent and 9.3 percent,9.3 percent and 36.4 percent,B,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 4 percent and real GDP grows 2 percent what is the predicted inflation rate in the quantity theory,2 percent,0 percent,4 percent,7 percent,A,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If money supply grows 8 percent and real GDP grows 5 percent what is the predicted inflation rate in the quantity theory,3 percent,5 percent,8 percent,1 percent,A,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
If CPI rises from 115 to 130 what is the inflation rate for the period,23.0 percent,8.0 percent,13.0 percent,18.0 percent,C,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 9 percent and real GDP grows 0 percent what is the predicted inflation rate in the quantity theory,11 percent,14 percent,9 percent,7 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 18117 Unemployed equals 2085 Adult population equals 31666 what are the unemployment rate and the labour force participation rate,89.7 percent and 63.8 percent,10.3 percent and 36.2 percent,10.3 percent and 63.8 percent,63.8 percent and 10.3 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Expected inflation is 5 percent and the real interest rate is 2 percent what nominal rate is consistent with the Fisher equation,7 percent,6 percent,9 percent,8 percent,A,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If CPI rises from 104 to 116 what is the inflation rate for the period,21.5 percent,11.5 percent,16.5 percent,6.5 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 98 to 103 what is the inflation rate for the period,10.1 percent,5.1 percent,0.09999999999999964 percent,15.1 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If money supply grows 5 percent and real GDP grows 0 percent what is the predicted inflation rate in the quantity theory,7 percent,10 percent,3 percent,5 percent,D,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 48603 Unemployed equals 3073 Adult population equals 57506 what are the unemployment rate and the labour force participation rate,5.9 percent and 10.099999999999994 percent,94.1 percent and 89.9 percent,5.9 percent and 89.9 percent,89.9 percent and 5.9 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If CPI rises from 98 to 118 what is the inflation rate for the period,25.4 percent,20.4 percent,15.399999999999999 percent,30.4 percent,B,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Expected inflation is 4 percent and the real interest rate is 0 percent what nominal rate is consistent with the Fisher equation,4 percent,3 percent,6 percent,5 percent,A,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
If money supply grows 3 percent and real GDP grows 2 percent what is the predicted inflation rate in the quantity theory,3 percent,6 percent,1 percent,0 percent,C,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 10644 Unemployed equals 4260 Adult population equals 16507 what are the unemployment rate and the labour force participation rate,71.4 percent and 90.3 percent,28.6 percent and 9.700000000000003 percent,90.3 percent and 28.6 percent,28.6 percent and 90.3 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 3 percent and real GDP grows 1 percent what is the predicted inflation rate in the quantity theory,4 percent,2 percent,7 percent,0 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
Given Employed equals 29262 Unemployed equals 3762 Adult population equals 44431 what are the unemployment rate and the labour force participation rate,11.4 percent and 25.700000000000003 percent,88.6 percent and 74.3 percent,11.4 percent and 74.3 percent,74.3 percent and 11.4 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Expected inflation is 4 percent and the real interest rate is 1 percent what nominal rate is consistent with the Fisher equation,7 percent,5 percent,4 percent,6 percent,B,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
Capital flight from a country is likely to depreciate its currency and raise domestic interest rates unless the central bank offsets the move,True,It appreciates the currency and lowers rates,No effect on markets,False,A,Outflows reduce demand for the currency and can tighten funding conditions pushing up domestic yields.
If CPI rises from 92 to 102 what is the inflation rate for the period,10.9 percent,20.9 percent,15.9 percent,5.9 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
If CPI rises from 103 to 111 what is the inflation rate for the period,7.8 percent,17.8 percent,2.8 percent,12.8 percent,A,Inflation equals change in CPI divided by initial CPI times one hundred which measures the percentage change in the index.
Given Employed equals 47008 Unemployed equals 427 Adult population equals 57472 what are the unemployment rate and the labour force participation rate,82.5 percent and 0.9 percent,0.9 percent and 17.5 percent,0.9 percent and 82.5 percent,99.1 percent and 82.5 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Given Employed equals 7160 Unemployed equals 1525 Adult population equals 26785 what are the unemployment rate and the labour force participation rate,32.4 percent and 17.6 percent,17.6 percent and 67.6 percent,82.4 percent and 32.4 percent,17.6 percent and 32.4 percent,D,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
Expected inflation is 4 percent and the real interest rate is 4 percent what nominal rate is consistent with the Fisher equation,8 percent,9 percent,10 percent,7 percent,A,The Fisher relationship says nominal equals real plus expected inflation so add the two numbers to obtain the nominal rate.
Given Employed equals 22407 Unemployed equals 1531 Adult population equals 39631 what are the unemployment rate and the labour force participation rate,93.6 percent and 60.4 percent,6.4 percent and 39.6 percent,6.4 percent and 60.4 percent,60.4 percent and 6.4 percent,C,Unemployment rate is one hundred times U divided by the labour force and participation is one hundred times labour force divided by adult population.
If money supply grows 15 percent and real GDP grows 5 percent what is the predicted inflation rate in the quantity theory,12 percent,10 percent,8 percent,15 percent,B,With roughly constant velocity inflation equals money growth minus real output growth so subtract real growth from money growth.
